"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Columbia Theological Semiry","Decatur","GA","four year",170570,NA,"private NFP"
"Columbus Technical College","Columbus","GA","two year",1981402,NA,"public"
"Columbus State University","Columbus","GA","four year",20062332,5535,"public"
"Georgia Northwestern Technical College","Rome","GA","two year",462521,NA,"public"
"Covent College","Lookout Mountain","GA","four year",12865191,5965,"private NFP"
"Emory University","Atlanta","GA","four year",273465026,6063,"private NFP"
"Georgia Highlands College","Rome","GA","two year",1216856,2822,"public"
"Fort Valley State University","Fort Valley","GA","four year",381576,6631,"public"
"Grady Health System Professiol Schools","Atlanta","GA","two year",349748,NA,"public"
"Georgia Southwestern State University","Americus","GA","four year",4577608,5438,"public"
"Gainesville State College","Oakwood","GA","four year",9103170,3524,"public"
"Georgia College & State University","Milledgeville","GA","four year",29582294,5045,"public"
"Georgia Southern University","Statesboro","GA","four year",58859911,4762,"public"
"Georgia State University","Atlanta","GA","four year",137057096,5134,"public"
"University of Georgia","Athens","GA","four year",228748648,5326,"public"
"Griffin Technical College","Griffin","GA","two year",2250140,NA,"public"
"Gupton Jones College of Funeral Service","Decatur","GA","two year",805765,8404,"private NFP"
"Middle Georgia Technical College","Warner Robins","GA","two year",2852589,NA,"public"
"Interdenomitiol Theological Center","Atlanta","GA","four year",3228056,NA,"private NFP"
"Kennesaw State University","Kennesaw","GA","four year",71586806,5448,"public"
"LaGrange College","Lagrange","GA","four year",9290677,6510,"private NFP"
"Lanier Technical College","Oakwood","GA","two year",3490566,183,"public"
"Life University","Marietta","GA","four year",34957870,6829,"private NFP"
"Chattahoochee Technical College","Marietta","GA","two year",7575794,NA,"public"
"Medical College of Georgia","Augusta","GA","four year",31896016,NA,"public"
"Morehouse College","Atlanta","GA","four year",29797147,7342,"private NFP"
"Morehouse School of Medicine","Atlanta","GA","four year",8222281,NA,"private NFP"
"Moultrie Technical College","Moultrie","GA","two year",578542,NA,"public"
"North Georgia College & State University","Dahlonega","GA","four year",16662721,4231,"public"
"North Georgia Technical College","Clarkesville","GA","two year",230156,NA,"public"
"Oglethorpe University","Atlanta","GA","four year",8612573,7104,"private NFP"
"Paine College","Augusta","GA","four year",4907945,7077,"private NFP"
"Piedmont College","Demorest","GA","four year",15237600,5199,"private NFP"
"Reinhardt College","Waleska","GA","four year",8383111,6131,"private NFP"
"Savanh College of Art and Design","Savanh","GA","four year",192870966,7699,"private NFP"
"Shorter College","Rome","GA","four year",4306504,8963,"private NFP"
"Spelman College","Atlanta","GA","four year",22462182,8521,"private NFP"
"Southern Polytechnic State University","Marietta","GA","four year",14762527,5368,"public"
"Southwest Georgia Technical College","Thomasville","GA","two year",939354,NA,"public"
"Thomas University","Thomasville","GA","four year",5183343,5730,"private NFP"
"Toccoa Falls College","Toccoa Falls","GA","four year",11574128,5835,"private NFP"
"Truett-McConnell College","Cleveland","GA","four year",2468175,6033,"private NFP"
"Valdosta Technical College","Valdosta","GA","two year",285515,NA,"public"
"Valdosta State University","Valdosta","GA","four year",35536392,5899,"public"
"Wesleyan College","Macon","GA","four year",2036209,6671,"private NFP"
"University of West Georgia","Carrollton","GA","four year",30433907,3789,"public"
"Young Harris College","Young Harris","GA","four year",2915127,7308,"private NFP"
"Chamide University of Honolulu","Honolulu","HI","four year",12942236,6937,"private NFP"
"University of Hawaii at Hilo","Hilo","HI","four year",9315724,5361,"public"
"University of Hawaii at Manoa","Honolulu","HI","four year",97136288,5277,"public"
"Honolulu Community College","Honolulu","HI","two year",3582775,3841,"public"
"Kapiolani Community College","Honolulu","HI","two year",11969978,4227,"public"
"Kauai Community College","Lihue","HI","two year",93977,3816,"public"
"Leeward Community College","Pearl City","HI","two year",5113765,3305,"public"
"World Medicine Institute","Honolulu","HI","four year",432159,NA,"private NFP"
"University of Hawaii-West Oahu","Pearl City","HI","four year",1479040,4830,"public"
"Boise Bible College","Boise","ID","four year",1406819,3168,"private NFP"
"Boise State University","Boise","ID","four year",57650877,6290,"public"
"Idaho State University","Pocatello","ID","four year",37653046,6608,"public"
"University of Idaho","Moscow","ID","four year",38983235,5517,"public"
"The College of Idaho","Caldwell","ID","four year",5987278,6346,"private NFP"
"Lewis-Clark State College","Lewiston","ID","four year",8775906,5069,"public"
"Northwest zarene University","mpa","ID","four year",17517819,7030,"private NFP"
"Brigham Young University-Idaho","Rexburg","ID","four year",23637402,4280,"private NFP"
"College of Southern Idaho","Twin Falls","ID","two year",12347541,5221,"public"
"Adler School of Professiol Psychology","Chicago","IL","four year",18098631,NA,"private NFP"
"School of the Art Institute of Chicago","Chicago","IL","four year",74091665,9092,"private NFP"
"Augusta College","Rock Island","IL","four year",38766842,6892,"private NFP"
"Aurora University","Aurora","IL","four year",34819626,6107,"private NFP"
"Southwestern Illinois College","Belleville","IL","two year",7949456,2853,"public"
"Bethany Theological Semiry","Richmond","IN","four year",129804,NA,"private NFP"
"Blackburn College","Carlinville","IL","four year",3948870,5532,"private NFP"
"Blessing Rieman College of Nursing","Quincy","IL","four year",1633636,NA,"private NFP"
"Blessing Hospital School of Radiologic Technology","Quincy","IL","two year",49083,NA,"private NFP"
"Bradley University","Peoria","IL","four year",45321390,6304,"private NFP"
"Carl Sandburg College","Galesburg","IL","two year",1432615,1444,"public"
"Catholic Theological Union at Chicago","Chicago","IL","four year",3456498,NA,"private NFP"
"Midwestern University","Downers Grove","IL","four year",74070220,NA,"private NFP"
"Chicago State University","Chicago","IL","four year",22340960,6172,"public"
"Chicago Theological Semiry","Chicago","IL","four year",973306,NA,"private NFP"
"University of Chicago","Chicago","IL","four year",310909877,6440,"private NFP"
"Columbia College Chicago","Chicago","IL","four year",171197875,7081,"private NFP"
"Concordia University","River Forest","IL","four year",39624904,8264,"private NFP"
"College of DuPage","Glen Ellyn","IL","two year",47841591,4920,"public"
"Eastern Illinois University","Charleston","IL","four year",63991057,8879,"public"
"Elgin Community College","Elgin","IL","two year",11058078,2199,"public"
"Elmhurst College","Elmhurst","IL","four year",41958389,5962,"private NFP"
"Eureka College","Eureka","IL","four year",6575151,6382,"private NFP"
"Garrett-Evangelical Theological Semiry","Evanston","IL","four year",1536837,NA,"private NFP"
"Governors State University","University Park","IL","four year",27960580,NA,"public"
"Graham Hospital School of Nursing","Canton","IL","two year",586897,NA,"private NFP"
"Greenville College","Greenville","IL","four year",14749452,5404,"private NFP"
"Hebrew Theological College","Skokie","IL","four year",96461,6051,"private NFP"
"Highland Community College","Freeport","IL","two year",1854369,3584,"public"
"Rosalind Franklin University of Medicine and Science","North Chicago","IL","four year",54737540,NA,"private NFP"
"Benedictine University","Lisle","IL","four year",52218903,6425,"private NFP"
"Illinois College of Optometry","Chicago","IL","four year",19737170,NA,"private NFP"
"Illinois Wesleyan University","Bloomington","IL","four year",37992199,9910,"private NFP"
"Illinois College","Jacksonville","IL","four year",6773983,6432,"private NFP"
"Illinois State University","Normal","IL","four year",110291813,6299,"public"
"Institute for Clinical Social Work","Chicago","IL","four year",911790,NA,"private NFP"
"The John Marshall Law School","Chicago","IL","four year",46302381,NA,"private NFP"
"John Wood Community College","Quincy","IL","two year",3075026,3623,"public"
"Joliet Junior College","Joliet","IL","two year",18438520,3563,"public"
"Judson University","Elgin","IL","four year",12335895,8863,"private NFP"
"Kankakee Community College","Kankakee","IL","two year",706948,3537,"public"
"Kishwaukee College","Malta","IL","two year",8022906,4031,"public"
"Knox College","Galesburg","IL","four year",21912382,6498,"private NFP"
"College of Lake County","Grayslake","IL","two year",17181530,3269,"public"
"Lake Forest College","Lake Forest","IL","four year",17824486,6980,"private NFP"
"Lake Land College","Mattoon","IL","two year",1186884,2376,"public"
"Lakeview College of Nursing","Danville","IL","four year",2424073,NA,"private NFP"
"Lewis and Clark Community College","Godfrey","IL","two year",11506806,1914,"public"
"Lewis University","Romeoville","IL","four year",65503678,7595,"private NFP"
"Lexington College","Chicago","IL","four year",34130,6583,"private NFP"
"Lincoln Christian University","Lincoln","IL","four year",5495410,6757,"private NFP"
"Lincoln College","Lincoln","IL","four year",6559996,8532,"private NFP"
"Lincoln Land Community College","Springfield","IL","two year",13387104,3599,"public"
"Loyola University Chicago","Chicago","IL","four year",282706278,8756,"private NFP"
"Lutheran School of Theology at Chicago","Chicago","IL","four year",1069215,NA,"private NFP"
"Trinity College of Nursing and Health Sciences","Rock Island","IL","four year",2253587,6000,"private NFP"
"MacCormac College","Chicago","IL","two year",1180766,6624,"private NFP"
"MacMurray College","Jacksonville","IL","four year",3924833,9337,"private NFP"
"McCormick Theological Semiry","Chicago","IL","four year",663526,NA,"private NFP"
"McHenry County College","Crystal Lake","IL","two year",11434373,3475,"public"
"McKendree University","Lebanon","IL","four year",18787815,5561,"private NFP"
"Meadville Lombard Theological School","Chicago","IL","four year",563222,NA,"private NFP"
"Methodist College of Nursing","Peoria","IL","four year",2179297,NA,"private NFP"
"Millikin University","Decatur","IL","four year",21485338,7029,"private NFP"
"Monmouth College","Monmouth","IL","four year",10149148,5551,"private NFP"
"Moody Bible Institute","Chicago","IL","four year",10138031,NA,"private NFP"
"Moraine Valley Community College","Palos Hills","IL","two year",20796649,4375,"public"
"Morrison Institute of Technology","Morrison","IL","two year",1175907,8928,"private NFP"
"tiol-Louis University","Chicago","IL","four year",74164608,7000,"private NFP"
"tiol University of Health Sciences","Lombard","IL","four year",17231682,NA,"private NFP"
"North Central College","perville","IL","four year",31823531,7314,"private NFP"
"North Park University","Chicago","IL","four year",32129225,6752,"private NFP"
"Northern Baptist Theological Semiry","Lombard","IL","four year",768780,NA,"private NFP"
"Northern Illinois University","Dekalb","IL","four year",114512786,7145,"public"
"Northwestern University","Evanston","IL","four year",486862000,5978,"private NFP"
"Northeastern Illinois University","Chicago","IL","four year",42896309,4707,"public"
"Oakton Community College","Des Plaines","IL","two year",11409534,3429,"public"
"Olivet zarene University","Bourbonis","IL","four year",43448389,6797,"private NFP"
"Parkland College","Champaign","IL","two year",16874110,3807,"public"
"Principia College","Elsah","IL","four year",3022155,5220,"private NFP"
"Quincy University","Quincy","IL","four year",11509342,6594,"private NFP"
"Rend Lake College","I","IL","two year",165480,4229,"public"
"Richland Community College","Decatur","IL","two year",408463,2988,"public"
"Rockford College","Rockford","IL","four year",12241068,7497,"private NFP"
"Roosevelt University","Chicago","IL","four year",85826711,6222,"private NFP"
"Dominican University","River Forest","IL","four year",42679274,6612,"private NFP"
