"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Red Rocks Community College","Lakewood","CO","two year",22756595,4954,"public"
"Regis University","Denver","CO","four year",116649066,7639,"private NFP"
"Montessori Education Center of the Rockies","Boulder","CO","four year",448842,5292,"private NFP"
"Colorado State University-Pueblo","Pueblo","CO","four year",15427742,4976,"public"
"Pickens Technical College","Aurora","CO","two year",697420,NA,"public"
"Western State College of Colorado","Gunnison","CO","four year",8847849,5373,"public"
"Yeshiva Toras Chaim Talmudical Semiry","Denver","CO","four year",760384,NA,"private NFP"
"Albertus Magnus College","New Haven","CT","four year",15967603,8164,"private NFP"
"Asnuntuck Community College","Enfield","CT","two year",2662241,3721,"public"
"Bais Binyomin Academy","Stamford","CT","four year",554292,NA,"private NFP"
"University of Bridgeport","Bridgeport","CT","four year",61809000,9801,"private NFP"
"Central Connecticut State University","New Britain","CT","four year",46523954,6195,"public"
"Charter Oak State College","New Britain","CT","four year",5455608,NA,"public"
"Connecticut College","New London","CT","four year",58458298,6373,"private NFP"
"Eastern Connecticut State University","Willimantic","CT","four year",23011853,6587,"public"
"Fairfield University","Fairfield","CT","four year",96520000,8245,"private NFP"
"Capital Community College","Hartford","CT","two year",270857,2667,"public"
"Rensselaer Hartford Graduate Center Inc","Hartford","CT","four year",11677000,NA,"private NFP"
"Hartford Semiry","Hartford","CT","four year",1077904,NA,"private NFP"
"University of Hartford","West Hartford","CT","four year",87766446,10283,"private NFP"
"Holy Apostles College and Semiry","Cromwell","CT","four year",2536747,4167,"private NFP"
"Housatonic Community College","Bridgeport","CT","two year",3485731,3129,"public"
"Lyme Academy College of Fine Arts","Old Lyme","CT","four year",1379448,7800,"private NFP"
"Manchester Community College","Manchester","CT","two year",9623500,2913,"public"
"ugatuck Valley Community College","Waterbury","CT","two year",10134343,3335,"public"
"Middlesex Community College","Middletown","CT","two year",4058901,3142,"public"
"Mitchell College","New London","CT","four year",12049072,7997,"private NFP"
"Three Rivers Community College","Norwich","CT","two year",4558778,4320,"public"
"University of New Haven","West Haven","CT","four year",81897669,10149,"private NFP"
"Norwalk Community College","Norwalk","CT","two year",10645481,3500,"public"
"Northwestern Connecticut Community College","Winsted","CT","two year",1572879,1670,"public"
"Quinebaug Valley Community College","Danielson","CT","two year",1340175,NA,"public"
"Quinnipiac University","Hamden","CT","four year",163076386,9731,"private NFP"
"Sacred Heart University","Fairfield","CT","four year",90073435,11002,"private NFP"
"Saint Joseph College","West Hartford","CT","four year",19721000,6936,"private NFP"
"Gateway Community College","New Haven","CT","two year",5814657,3242,"public"
"St Vincent's College","Bridgeport","CT","two year",4406001,7688,"private NFP"
"Southern Connecticut State University","New Haven","CT","four year",56754309,6479,"public"
"Trinity College","Hartford","CT","four year",56194583,6199,"private NFP"
"Tunxis Community College","Farmington","CT","two year",6808942,3832,"public"
"Wesleyan University","Middletown","CT","four year",77395000,4510,"private NFP"
"Western Connecticut State University","Danbury","CT","four year",30322346,5837,"public"
"Yale-New Haven Hospital Dietetic Internship","New Haven","CT","four year",20815,NA,"private NFP"
"Beebe Hospital School of Nursing","Lewes","DE","two year",232616,NA,"private NFP"
"Delaware Technical and Community College-Owens","Georgetown","DE","two year",11052779,2650,"public"
"Delaware Technical and Community College-Terry","Dover","DE","two year",7613095,2840,"public"
"Delaware Technical and Community College-Stanton-Wilmington","Newark","DE","two year",18050591,2848,"public"
"Delaware State University","Dover","DE","four year",16705880,9898,"public"
"University of Delaware","Newark","DE","four year",286049726,7274,"public"
"Goldey-Beacom College","Wilmington","DE","four year",10167231,6120,"private NFP"
"Wesley College","Dover","DE","four year",23722864,9325,"private NFP"
"Wilmington University","New Castle","DE","four year",60440001,1841,"private NFP"
"American University","Washington","DC","four year",297890000,8128,"private NFP"
"Catholic University of America","Washington","DC","four year",126316261,7302,"private NFP"
"Corcoran College of Art and Design","Washington","DC","four year",13760626,6576,"private NFP"
"Dominican House of Studies","Washington","DC","four year",1054892,NA,"private NFP"
"Gallaudet University","Washington","DC","four year",10221437,5119,"private NFP"
"Georgetown University","Washington","DC","four year",428911000,5372,"private NFP"
"Howard University","Washington","DC","four year",114388000,10307,"private NFP"
"tiol Conservatory of Dramatic Arts","Washington","DC","two year",286553,4155,"private NFP"
"Trinity Washington University","Washington","DC","four year",17847803,7065,"private NFP"
"Wesley Theological Semiry","Washington","DC","four year",4159856,NA,"private NFP"
"Atlantic Technical Center","Coconut Creek","FL","two year",3573347,NA,"public"
"The Baptist College of Florida","Graceville","FL","four year",1685973,5230,"private NFP"
"Gooding Institute of Nurse Anesthesia","Pama City","FL","four year",737229,NA,"public"
"Bethune-Cookman University","Dayto Beach","FL","four year",14135876,7476,"private NFP"
"Brevard Community College","Cocoa","FL","two year",3739354,3798,"public"
"Carlos Albizu University-Miami Campus","Miami","FL","four year",12481030,5250,"private NFP"
"Central Florida Community College","Ocala","FL","two year",266985,4834,"public"
"Florida Christian College Inc","Kissimmee","FL","four year",1144563,6128,"private NFP"
"University of Central Florida","Orlando","FL","four year",102459492,5375,"public"
"Clearwater Christian College","Clearwater","FL","four year",4024952,5187,"private NFP"
"Lorenzo Walker Institute of Technology","ples","FL","two year",437442,NA,"public"
"Eckerd College","Saint Petersburg","FL","four year",41678385,7063,"private NFP"
"Edward Waters College","Jacksonville","FL","four year",2626437,3242,"private NFP"
"Florida Agricultural and Mechanical University","Tallahassee","FL","four year",17912866,6011,"public"
"Florida Atlantic University","Boca Raton","FL","four year",60714324,5190,"public"
"Florida State College at Jacksonville","Jacksonville","FL","four year",19111537,4448,"public"
"Florida College","Temple Terrace","FL","four year",3130170,5769,"private NFP"
"Florida Hospital College of Health Sciences","Orlando","FL","four year",16524052,7273,"private NFP"
"Florida Institute of Technology","Melbourne","FL","four year",72853698,7297,"private NFP"
"Florida Intertiol University","Miami","FL","four year",79626139,5753,"public"
"Florida Keys Community College","Key West","FL","two year",1454439,7688,"public"
"Florida Memorial University","Miami Gardens","FL","four year",15711939,9762,"private NFP"
"Florida Southern College","Lakeland","FL","four year",19180423,9620,"private NFP"
"Florida State University","Tallahassee","FL","four year",72094683,6662,"public"
"University of Florida","Gainesville","FL","four year",169847000,4954,"public"
